datetime,irradiance_Wm-2,panel_temp_C,pv_power_mw
2017-11-03 00:00:00+00:00,0.0,7.05,0.0
2017-11-03 00:30:00+00:00,0.0,7.38,0.0
2017-11-03 01:00:00+00:00,0.0,7.7,0.0
2017-11-03 01:30:00+00:00,0.0,7.48,0.0
2017-11-03 02:00:00+00:00,0.0,7.2,0.0
2017-11-03 02:30:00+00:00,0.0,7.28,0.0
2017-11-03 03:00:00+00:00,0.0,7.97,0.0
2017-11-03 03:30:00+00:00,0.0,8.29,0.0
2017-11-03 04:00:00+00:00,0.0,7.85,0.0
2017-11-03 04:30:00+00:00,0.0,7.68,0.0
2017-11-03 05:00:00+00:00,0.0,8.26,0.0
2017-11-03 05:30:00+00:00,0.0,8.45,0.0
2017-11-03 06:00:00+00:00,0.0,8.77,0.0
2017-11-03 06:30:00+00:00,0.06,7.8,0.0
2017-11-03 07:00:00+00:00,8.48,6.84,0.02
2017-11-03 07:30:00+00:00,57.03,8.26,0.21
2017-11-03 08:00:00+00:00,172.18,10.28,0.58
2017-11-03 08:30:00+00:00,199.01,14.9,0.77
2017-11-03 09:00:00+00:00,85.06,13.99,0.35
2017-11-03 09:30:00+00:00,95.07,13.65,0.4
2017-11-03 10:00:00+00:00,190.7,14.28,0.79
2017-11-03 10:30:00+00:00,180.29,17.53,0.76
2017-11-03 11:00:00+00:00,146.27,16.2,0.62
2017-11-03 11:30:00+00:00,288.92,16.43,1.19
2017-11-03 12:00:00+00:00,466.2,23.37,2.0
2017-11-03 12:30:00+00:00,338.5,19.41,1.38
2017-11-03 13:00:00+00:00,308.66,18.71,1.35
2017-11-03 13:30:00+00:00,509.04,22.6,2.11
2017-11-03 14:00:00+00:00,443.73,24.31,1.81
2017-11-03 14:30:00+00:00,349.08,21.99,1.39
2017-11-03 15:00:00+00:00,272.7,20.54,1.02
2017-11-03 15:30:00+00:00,145.59,16.49,0.52
2017-11-03 16:00:00+00:00,61.73,13.63,0.2
2017-11-03 16:30:00+00:00,6.42,10.99,0.02
2017-11-03 17:00:00+00:00,0.0,10.27,0.0
2017-11-03 17:30:00+00:00,0.0,10.37,0.0
2017-11-03 18:00:00+00:00,0.0,9.73,0.0
2017-11-03 18:30:00+00:00,0.0,9.97,0.0
2017-11-03 19:00:00+00:00,0.0,10.01,0.0
2017-11-03 19:30:00+00:00,0.0,10.39,0.0
2017-11-03 20:00:00+00:00,0.0,10.58,0.0
2017-11-03 20:30:00+00:00,0.0,10.85,0.0
2017-11-03 21:00:00+00:00,0.0,11.15,0.0
2017-11-03 21:30:00+00:00,0.0,11.54,0.0
2017-11-03 22:00:00+00:00,0.0,11.48,0.0
2017-11-03 22:30:00+00:00,0.0,12.15,0.0
2017-11-03 23:00:00+00:00,0.0,12.47,0.0
2017-11-03 23:30:00+00:00,0.0,12.54,0.0
2017-11-04 00:00:00+00:00,0.0,12.59,0.0
2017-11-04 00:30:00+00:00,0.0,12.52,0.0
2017-11-04 01:00:00+00:00,0.0,12.5,0.0
2017-11-04 01:30:00+00:00,0.0,12.43,0.0
2017-11-04 02:00:00+00:00,0.0,12.17,0.0
2017-11-04 02:30:00+00:00,0.0,12.1,0.0
2017-11-04 03:00:00+00:00,0.0,11.22,0.0
2017-11-04 03:30:00+00:00,0.0,10.79,0.0
2017-11-04 04:00:00+00:00,0.0,10.57,0.0
2017-11-04 04:30:00+00:00,0.0,10.6,0.0
2017-11-04 05:00:00+00:00,0.0,10.75,0.0
2017-11-04 05:30:00+00:00,0.0,10.62,0.0
2017-11-04 06:00:00+00:00,0.0,9.68,0.0
2017-11-04 06:30:00+00:00,0.0,9.72,0.0
2017-11-04 07:00:00+00:00,0.72,9.9,0.0
2017-11-04 07:30:00+00:00,5.55,9.49,0.01
2017-11-04 08:00:00+00:00,25.39,9.61,0.1
2017-11-04 08:30:00+00:00,62.5,10.62,0.26
2017-11-04 09:00:00+00:00,136.6,11.87,0.55
2017-11-04 09:30:00+00:00,256.72,13.31,1.04
2017-11-04 10:00:00+00:00,286.97,15.53,1.13
2017-11-04 10:30:00+00:00,135.61,12.17,0.6
2017-11-04 11:00:00+00:00,202.1,12.9,0.89
2017-11-04 11:30:00+00:00,330.84,14.49,1.33
2017-11-04 12:00:00+00:00,591.68,16.6,2.37
2017-11-04 12:30:00+00:00,719.27,18.97,2.97
2017-11-04 13:00:00+00:00,440.97,16.17,1.88
2017-11-04 13:30:00+00:00,273.11,13.56,1.12
2017-11-04 14:00:00+00:00,440.3,14.5,1.82
2017-11-04 14:30:00+00:00,275.57,15.38,1.09
2017-11-04 15:00:00+00:00,168.62,13.15,0.66
2017-11-04 15:30:00+00:00,246.5,12.02,0.83
2017-11-04 16:00:00+00:00,94.52,10.87,0.23
2017-11-04 16:30:00+00:00,8.33,7.57,0.02
2017-11-04 17:00:00+00:00,0.0,6.48,0.0
2017-11-04 17:30:00+00:00,0.0,6.17,0.0
2017-11-04 18:00:00+00:00,0.0,4.53,0.0
2017-11-04 18:30:00+00:00,0.0,4.14,0.0
2017-11-04 19:00:00+00:00,0.0,5.02,0.0
2017-11-04 19:30:00+00:00,0.0,5.49,0.0
2017-11-04 20:00:00+00:00,0.0,4.22,0.0
2017-11-04 20:30:00+00:00,0.0,5.05,0.0
2017-11-04 21:00:00+00:00,0.0,4.47,0.0
2017-11-04 21:30:00+00:00,0.0,3.91,0.0
2017-11-04 22:00:00+00:00,0.0,4.64,0.0
2017-11-04 22:30:00+00:00,0.0,3.89,0.0
2017-11-04 23:00:00+00:00,0.0,3.85,0.0
2017-11-04 23:30:00+00:00,0.0,3.87,0.0
2017-11-05 00:00:00+00:00,0.0,4.19,0.0
2017-11-05 00:30:00+00:00,0.0,5.04,0.0
2017-11-05 01:00:00+00:00,0.0,3.77,0.0
2017-11-05 01:30:00+00:00,0.0,3.06,0.0
2017-11-05 02:00:00+00:00,0.0,4.41,0.0
2017-11-05 02:30:00+00:00,0.0,3.15,0.0
2017-11-05 03:00:00+00:00,0.0,4.56,0.0
2017-11-05 03:30:00+00:00,0.0,4.08,0.0
2017-11-05 04:00:00+00:00,0.0,3.51,0.0
2017-11-05 04:30:00+00:00,0.0,3.04,0.0
2017-11-05 05:00:00+00:00,0.0,3.46,0.0
2017-11-05 05:30:00+00:00,0.0,4.43,0.0
2017-11-05 06:00:00+00:00,0.0,2.46,0.0
2017-11-05 06:30:00+00:00,0.0,4.24,0.0
2017-11-05 07:00:00+00:00,0.1,4.36,0.0
2017-11-05 07:30:00+00:00,1.18,4.83,0.0
2017-11-05 08:00:00+00:00,32.75,4.68,0.13
2017-11-05 08:30:00+00:00,136.8,5.8,0.41
2017-11-05 09:00:00+00:00,380.33,8.38,1.23
2017-11-05 09:30:00+00:00,448.68,13.62,1.64
2017-11-05 10:00:00+00:00,567.92,14.31,2.14
2017-11-05 10:30:00+00:00,630.48,15.66,2.44
2017-11-05 11:00:00+00:00,540.83,16.47,2.14
2017-11-05 11:30:00+00:00,642.78,18.71,2.65
2017-11-05 12:00:00+00:00,662.13,18.38,2.65
2017-11-05 12:30:00+00:00,520.18,16.73,2.12
2017-11-05 13:00:00+00:00,549.14,16.68,2.26
2017-11-05 13:30:00+00:00,569.91,17.47,2.41
2017-11-05 14:00:00+00:00,427.88,18.26,1.77
2017-11-05 14:30:00+00:00,286.92,10.79,1.07
2017-11-05 15:00:00+00:00,233.3,11.45,0.77
2017-11-05 15:30:00+00:00,200.77,11.15,0.61
2017-11-05 16:00:00+00:00,83.65,9.21,0.17
2017-11-05 16:30:00+00:00,3.93,6.61,0.01
2017-11-05 17:00:00+00:00,0.0,5.93,0.0
2017-11-05 17:30:00+00:00,0.0,6.03,0.0
2017-11-05 18:00:00+00:00,0.0,5.45,0.0
2017-11-05 18:30:00+00:00,0.0,5.31,0.0
2017-11-05 19:00:00+00:00,0.0,4.89,0.0
2017-11-05 19:30:00+00:00,0.0,3.87,0.0
2017-11-05 20:00:00+00:00,0.0,2.69,0.0
2017-11-05 20:30:00+00:00,0.0,2.52,0.0
2017-11-05 21:00:00+00:00,0.0,2.11,0.0
2017-11-05 21:30:00+00:00,0.0,1.43,0.0
2017-11-05 22:00:00+00:00,0.0,1.13,0.0
2017-11-05 22:30:00+00:00,0.0,0.75,0.0
2017-11-05 23:00:00+00:00,0.0,0.32,0.0
2017-11-05 23:30:00+00:00,0.0,1.71,0.0
2017-11-06 00:00:00+00:00,0.0,1.61,0.0
2017-11-06 00:30:00+00:00,0.0,2.98,0.0
2017-11-06 01:00:00+00:00,0.0,2.76,0.0
2017-11-06 01:30:00+00:00,0.0,3.98,0.0
2017-11-06 02:00:00+00:00,0.0,2.13,0.0
2017-11-06 02:30:00+00:00,0.0,1.32,0.0
2017-11-06 03:00:00+00:00,0.0,0.67,0.0
2017-11-06 03:30:00+00:00,0.0,1.02,0.0
2017-11-06 04:00:00+00:00,0.0,0.24,0.0
2017-11-06 04:30:00+00:00,0.0,0.42,0.0
2017-11-06 05:00:00+00:00,0.0,0.86,0.0
2017-11-06 05:30:00+00:00,0.0,0.58,0.0
2017-11-06 06:00:00+00:00,0.0,-0.11,0.0
2017-11-06 06:30:00+00:00,0.0,0.08,0.0
2017-11-06 07:00:00+00:00,4.51,-0.24,0.01
2017-11-06 07:30:00+00:00,34.25,0.83,0.1
2017-11-06 08:00:00+00:00,185.95,1.68,0.36
2017-11-06 08:30:00+00:00,294.49,5.9,0.75
2017-11-06 09:00:00+00:00,398.62,12.25,1.25
2017-11-06 09:30:00+00:00,491.36,15.7,1.78
2017-11-06 10:00:00+00:00,543.04,22.75,2.08
2017-11-06 10:30:00+00:00,394.77,24.95,1.56
2017-11-06 11:00:00+00:00,311.51,20.95,1.24
2017-11-06 11:30:00+00:00,110.8,14.98,0.48
2017-11-06 12:00:00+00:00,92.14,12.87,0.41
2017-11-06 12:30:00+00:00,156.46,11.45,0.71
2017-11-06 13:00:00+00:00,306.21,16.43,1.31
2017-11-06 13:30:00+00:00,316.27,17.48,1.37
2017-11-06 14:00:00+00:00,109.76,14.77,0.48
2017-11-06 14:30:00+00:00,58.64,11.81,0.25
2017-11-06 15:00:00+00:00,56.67,11.57,0.24
2017-11-06 15:30:00+00:00,22.49,11.06,0.08
2017-11-06 16:00:00+00:00,6.57,10.14,0.01
2017-11-06 16:30:00+00:00,1.07,9.87,0.0
2017-11-06 17:00:00+00:00,0.0,9.92,0.0
2017-11-06 17:30:00+00:00,0.0,10.12,0.0
2017-11-06 18:00:00+00:00,0.0,10.09,0.0
2017-11-06 18:30:00+00:00,0.0,9.67,0.0
2017-11-06 19:00:00+00:00,0.0,9.75,0.0
2017-11-06 19:30:00+00:00,0.0,9.84,0.0
2017-11-06 20:00:00+00:00,0.0,9.73,0.0
2017-11-06 20:30:00+00:00,0.0,10.0,0.0
2017-11-06 21:00:00+00:00,0.0,9.98,0.0
2017-11-06 21:30:00+00:00,0.0,10.42,0.0
2017-11-06 22:00:00+00:00,0.0,9.98,0.0
2017-11-06 22:30:00+00:00,0.0,10.11,0.0
2017-11-06 23:00:00+00:00,0.0,10.1,0.0
2017-11-06 23:30:00+00:00,0.0,9.88,0.0
2017-11-07 00:00:00+00:00,0.0,9.99,0.0
2017-11-07 00:30:00+00:00,0.0,10.33,0.0
2017-11-07 01:00:00+00:00,0.0,10.24,0.0
2017-11-07 01:30:00+00:00,0.0,9.98,0.0
2017-11-07 02:00:00+00:00,0.0,9.9,0.0
2017-11-07 02:30:00+00:00,0.0,10.18,0.0
2017-11-07 03:00:00+00:00,0.0,10.59,0.0
2017-11-07 03:30:00+00:00,0.0,10.3,0.0
2017-11-07 04:00:00+00:00,0.0,9.86,0.0
2017-11-07 04:30:00+00:00,0.0,9.76,0.0
2017-11-07 05:00:00+00:00,0.0,10.27,0.0
2017-11-07 05:30:00+00:00,0.0,10.55,0.0
2017-11-07 06:00:00+00:00,0.0,10.18,0.0
2017-11-07 06:30:00+00:00,0.0,10.16,0.0
2017-11-07 07:00:00+00:00,1.37,10.67,0.0
2017-11-07 07:30:00+00:00,5.62,11.23,0.01
2017-11-07 08:00:00+00:00,11.64,11.45,0.04
2017-11-07 08:30:00+00:00,27.96,10.59,0.11
2017-11-07 09:00:00+00:00,22.58,10.79,0.09
2017-11-07 09:30:00+00:00,42.54,10.69,0.18
2017-11-07 10:00:00+00:00,54.5,10.22,0.25
2017-11-07 10:30:00+00:00,69.13,9.34,0.32
2017-11-07 11:00:00+00:00,60.24,9.23,0.27
2017-11-07 11:30:00+00:00,48.47,8.57,0.22
2017-11-07 12:00:00+00:00,49.05,8.35,0.22
2017-11-07 12:30:00+00:00,34.65,7.77,0.15
2017-11-07 13:00:00+00:00,55.98,7.45,0.26
